id,name_cn,layer,family,direction_bet,target_family,bet_side,criterion_expr,context_gate,lookback_hint_bars,n_expressions,tier,status,overlap_with,market_caliber,freq_prior,sources,mechanism,masks_5m,n_masks_5m,dedup_aliases_5m,hit_sig_5m
NK-T1-11,光脚阳线,T1,经典单根,押收阳,continuation,up,(dir_ > 0) & (lo_r <= 0.05) & (body_r >= 0.5) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,S1 实盘判据近似（fake_breakout_detector.py:142-192）,True,0.03,TA-Lib CDLBELTHOLD,开盘即最低、全程买盘托底,NK-T1-11,1,,cc1a4446974258b9
NK-T1-12,光头阳线,T1,经典单根,押收阴,reversal,down,(dir_ > 0) & (up_r <= 0.05) & (body_r >= 0.5) & (rng_pct >= 0.0004),,0,1,B,VERIFIABLE,S1「光头阳」实盘已用（fake_breakout_detector.py:142-192）→ 非独立新证据,True,0.03,TA-Lib CDLADVANCEBLOCK,收在最高但实体未占满区间，押高位受阻,NK-T1-12,1,,0c8b27d4bf5b5511
NK-T1-13,大阴/大阳（长实体）,T1,经典单根,押反转,reversal,none,(body_r >= 0.7) & (rng_pct >= 0.001),,0,1,B,VERIFIABLE,,True,0.05,TA-Lib CDLLONGLINE,绝对方向无先验（故 bet_side=none）；reversal 族下押「与当根反向」，测的是大实体后的反转率,NK-T1-13,1,,c18024c3e190fac5
NK-T1-14,看涨吞没,T1,经典双根,押收阳,continuation,up,(dir_ > 0) & (dir1 < 0) & (c > o1) & (o <= l1) & (body_r >= 0.4),,1,1,B,VERIFIABLE,features.py:213 bullish_engulfing 近似,True,0.02,TA-Lib CDLENGULFING|features.py:213,阳线实体完全吞没前阴，多头接管,NK-T1-14,1,,feaf4c9f893f1e26
NK-T1-15,看跌吞没,T1,经典双根,押收阴,continuation,down,(dir_ < 0) & (dir1 > 0) & (o >= h1) & (c <= c1) & (body_r >= 0.4),,1,1,B,VERIFIABLE,features.py:214 bearish_engulfing 近似,True,0.02,TA-Lib CDLENGULFING|features.py:214,阴线实体完全吞没前阳，空头接管,NK-T1-15,1,,44e6d8ae4aaeaafd
NK-T1-16,孕线（看涨）,T1,经典双根,押收阳,continuation,up,"(dir1 < 0) & (body_r1 >= 0.5) & (h <= max(o1, c1)) & (l >= min(o1, c1)) & (dir_ > 0)",,1,1,B,VERIFIABLE,,True,0.01,TA-Lib CDLHARAMI,大阴后收窄止跌，押反抽,NK-T1-16,1,,ca04aac4283b767d
NK-T1-17,孕线（看跌）,T1,经典双根,押收阴,continuation,down,"(dir1 > 0) & (body_r1 >= 0.5) & (h <= max(o1, c1)) & (l >= min(o1, c1)) & (dir_ < 0)",,1,1,B,VERIFIABLE,,True,0.01,TA-Lib CDLHARAMI,大阳后收窄滞涨，押回落,NK-T1-17,1,,7e37656369a5f6eb
NK-T1-18,十字孕线,T1,经典双根,押反转,reversal,none,"(body_r <= 0.1) & (body_r1 >= 0.5) & (h <= max(o1, c1)) & (l >= min(o1, c1))",,1,1,B,VERIFIABLE,,True,0.005,TA-Lib CDLHARAMICROSS,大实体后彻底僵持，押原趋势失效,NK-T1-18,1,,14c249d41a3e061d
NK-T1-19,内包线,T1,经典双根,押反转,reversal,none,(h <= h1) & (l >= l1) & (rng_pct1 >= 0.0006),,1,1,B,VERIFIABLE,features.py:210 inside_bar 同判据 + 前一根振幅下限,True,0.3,TA-Lib CDLCONCEALBABYSWALL 前置|features.py:210,波动收缩；高频形态，主要作语境而非信号,NK-T1-19,1,,79bd40dead8be10c
NK-T1-20,外包线,T1,经典双根,押反转,reversal,none,(h > h1) & (l < l1) & (rng_pct >= 0.0006),,1,1,B,VERIFIABLE,features.py:211 outside_bar 同判据 + 当根振幅下限,True,0.08,features.py:211,双向扩张扫损，押当根方向失效,NK-T1-20,1,,a46d85d0687f24d4
NK-T1-21,平头顶,T1,经典双根,押收阴,reversal,down,(abs(h - h1) <= 0.15 * rng) & (dir1 > 0) & (rng_pct >= 0.0004) & (rng_pct1 >= 0.0004),,1,1,B,VERIFIABLE,features.py:218 tweezer_top 同族但不同判据：该列用 (c-l)/rng_pct<0.5 作收盘位判据（量纲缺陷），本表用归一化 close_loc,True,0.02,TA-Lib（社区版）|features.py:218,同高两次未过，上方供给确认,NK-T1-21,1,,cee76d3980d54f3b
NK-T1-22,平头底,T1,经典双根,押收阳,reversal,up,(abs(l - l1) <= 0.15 * rng) & (dir1 < 0) & (rng_pct >= 0.0004) & (rng_pct1 >= 0.0004),,1,1,B,VERIFIABLE,features.py:219 tweezer_bottom 同族但不同判据：同 tweezer_top 的量纲缺陷,True,0.02,TA-Lib（社区版）|features.py:219,同低两次未破，下方需求确认,NK-T1-22,1,,0b9c9e4b61a4ebdc
NK-T1-23,乌云盖顶,T1,经典双根,押收阴,continuation,down,(dir1 > 0) & (dir_ < 0) & (o > h1) & (c < c1) & (c > o1) & (body_r >= 0.3),,1,1,B,VERIFIABLE,,True,0.008,TA-Lib CDLDARKCLOUDCOVER,高开深入前阳实体过半但未破前低,NK-T1-23,1,,47325c41fb6eaddd
NK-T1-24,曙光初现（刺透）,T1,经典双根,押收阳,continuation,up,(dir1 < 0) & (dir_ > 0) & (o < l1) & (c > c1) & (c < o1) & (body_r >= 0.3),,1,1,B,VERIFIABLE,,True,0.008,TA-Lib CDLPIERCING,低开深入前阴实体过半，押反抽,NK-T1-24,1,,5ab2665c474ff26d
NK-T1-25,分手线（看涨）,T1,经典双根,押收阳,continuation,up,(dir_ > 0) & (dir1 < 0) & (abs(o - o1) <= 0.1 * rng) & (c > c1),,1,1,B,VERIFIABLE,,True,0.004,TA-Lib CDLSEPARATINGLINES,同开反向，押原趋势被否决后延续,NK-T1-25,1,,bad49eb33c9f5acc
NK-T1-26,匹配低点,T1,经典双根,押收阳,reversal,up,(dir_ < 0) & (dir1 < 0) & (abs(c - c1) <= 0.1 * rng) & (l < l1) & (rng_pct >= 0.0004),,1,1,B,VERIFIABLE,,True,0.006,TA-Lib CDLMATCHINGLOW,连续阴线收于同价，抛压枯竭,NK-T1-26,1,,b42f1ea688c82a44
NK-T1-27,启明星,T1,经典三根,押收阳,continuation,up,"(dir2 < 0) & (body_r2 >= 0.5) & (body_r1 <= 0.3) & (max(h1, c1) < min(o2, c2)) & (dir_ > 0) & (c > (o2 + c2) / 2)",,2,1,B,VERIFIABLE,,True,0.003,TA-Lib CDLMORNINGSTAR,阴—跳空滞停—阳收过半，经典三段底,NK-T1-27,1,,5e255df74c21c18a
NK-T1-28,黄昏星,T1,经典三根,押收阴,continuation,down,"(dir2 > 0) & (body_r2 >= 0.5) & (body_r1 <= 0.3) & (min(l1, c1) > max(o2, c2)) & (dir_ < 0) & (c < (o2 + c2) / 2)",,2,1,B,VERIFIABLE,,True,0.003,TA-Lib CDLEVENINGSTAR,阳—跳空滞停—阴收过半，经典三段顶,NK-T1-28,1,,c98fe5eb85cd5519
NK-T1-29,红三兵,T1,经典三根,押收阳,continuation,up,(dir_ > 0) & (dir1 > 0) & (dir2 > 0) & (c > c1) & (c1 > c2) & (o <= c1) & (o1 <= c2) & (body_r >= 0.4) & (up_r <= 0.3),,2,1,B,VERIFIABLE,,True,0.006,TA-Lib CDL3WHITESOLDIERS,三连阳逐级抬高且收在上半，趋势确立,NK-T1-29,1,,2edf9d134e64febd
NK-T1-30,黑三鸦,T1,经典三根,押收阴,continuation,down,(dir_ < 0) & (dir1 < 0) & (dir2 < 0) & (c < c1) & (c1 < c2) & (o >= c1) & (o1 >= c2) & (body_r >= 0.4) & (lo_r <= 0.3),,2,1,B,VERIFIABLE,,True,0.006,TA-Lib CDL3BLACKCROWS,三连阴逐级压低且收在下半，趋势确立,NK-T1-30,1,,44dd218f3d3695a7
NK-T1-31,看涨三内部,T1,经典三根,押收阳,continuation,up,(dir2 < 0) & (h1 <= h2) & (l1 >= l2) & (dir_ > 0) & (c > o2),,2,1,B,VERIFIABLE,,True,0.004,TA-Lib CDL3INSIDE,孕线后被阳线确认，双重确认反转,NK-T1-31,1,,1a96f797574de65a
NK-T1-32,看跌三内部,T1,经典三根,押收阴,continuation,down,(dir2 > 0) & (h1 <= h2) & (l1 >= l2) & (dir_ < 0) & (c < o2),,2,1,B,VERIFIABLE,,True,0.004,TA-Lib CDL3INSIDE,孕线后被阴线确认，双重确认反转,NK-T1-32,1,,7c2c1f499eff33c4
NK-T1-33,反击三线（看涨）,T1,经典三根,押收阳,continuation,up,(dir_ > 0) & (dir1 < 0) & (dir2 < 0) & (o < l1) & (c > c1) & (c <= o1) & (body_r >= 0.4),,2,1,B,VERIFIABLE,,True,0.001,TA-Lib CDL3LINESTRIKE,三阴末端一根收复前阴开盘，极低频,NK-T1-33,1,,7df1ef52fcdb558d
NK-T1-34,上升三法,T1,经典多根,押收阳,continuation,up,(dir4 > 0) & (body_r4 >= 0.5) & (dir3 < 0) & (dir2 < 0) & (dir1 < 0) & (l1 >= l4) & (h3 <= h4) & (dir_ > 0) & (c > h4),,4,1,B,VERIFIABLE,,True,0.0008,TA-Lib CDLRISEFALL3METHODS,大阳后三根小阴不破区间，再创新高,NK-T1-34,1,,05189ee3fcaa0511
NK-T1-35,下降三法,T1,经典多根,押收阴,continuation,down,(dir4 < 0) & (body_r4 >= 0.5) & (dir3 > 0) & (dir2 > 0) & (dir1 > 0) & (h1 <= h4) & (l3 >= l4) & (dir_ < 0) & (c < l4),,4,1,B,VERIFIABLE,,True,0.0008,TA-Lib CDLRISEFALL3METHODS,大阴后三根小阳不破区间，再创新低,NK-T1-35,1,,974d61ea4e7ef966
NK-T1-36,三星低（看涨弃婴近似）,T1,经典多根,押收阳,continuation,up,"(dir2 < 0) & (body_r <= 0.25) & (body_r1 <= 0.25) & (body_r2 <= 0.25) & (h <= min(h1, h2)) & (l >= max(l1, l2)) & (dir_ > 0) & (rng_pct >= 0.0004)",,2,1,B,VERIFIABLE,,True,0.0002,TA-Lib CDLABANDONEDBABY,跳空后两根内缩十字，极端反转；预期低频到不可测,NK-T1-36,1,,5220201faf505510
NK-T1-37,向上跳空缺口,T1,经典缺口,押收阳,continuation,up,(l > h1) & (rng_pct >= 0.0004),,1,1,B,VERIFIABLE,,True,0.01,TA-Lib CDLGAPSIDESIDEWHITE 族|Wikipedia,整根区间上移，押缺口不被立即回补,NK-T1-37,1,,314b2da6d435dc73
NK-T1-38,向下跳空缺口,T1,经典缺口,押收阴,continuation,down,(h < l1) & (rng_pct >= 0.0004),,1,1,B,VERIFIABLE,,True,0.01,TA-Lib,整根区间下移，押缺口不被立即回补,NK-T1-38,1,,01b96760f7b6e71a
NK-T1-39,看涨窗口,T1,经典双根,押收阳,continuation,up,(dir_ > 0) & (dir1 > 0) & (l > h1) & (body_r >= 0.5),,1,1,B,VERIFIABLE,,True,0.003,日本蜡烛图 窗口/-gap 概念,双阳留窗，强势延续,NK-T1-39,1,,70ab116ea68ccc18
NK-T1-40,连阴三根（朴素序列）,T1,经典多根,押收阳,reversal,up,(dir1 < 0) & (dir2 < 0) & (dir_ < 0) & (l < l1) & (l1 < l2) & (er3 >= 0.8),,3,1,B,VERIFIABLE,KREV-A/B（kline_shadow_detector.py:50-67）的 path3_all_down 成分 → 非独立新证据,True,0.03,项目内生：KREV-A/B 的成分条件,匀速三连跌，对标线上已冻结的反转族前置条件,NK-T1-40,1,,3a7753fd41bc5170
NK-T2-01,扫高失败（上影拒绝）,T2,流动性猎杀,押收阴,reversal,down,sweep_hi16,regime_vol_high,16,2,C,VERIFIABLE,R3-003（sweep_hi_fail × regime_vol_high）已预注册 → 非独立新证据；但 features.py:276 的收盘位判据 (c-l)/rng_pct 属量纲缺陷，本表判据与其实质不同,True,0.03,SMC liquidity sweep|ACY 确认模型,破前 16 根高但收于下三分之一，押扫损回落,NK-T2-01|NK-T2-01|regime_vol_high,2,,8c579a1bdcc5a6f6|b44d6b887df5b93f
NK-T2-02,扫低失败（下影拒绝）,T2,流动性猎杀,押收阳,reversal,up,sweep_lo16,regime_vol_high,16,2,C,VERIFIABLE,R3-004 已预注册 → 非独立新证据；但 features.py:277 的收盘位判据属量纲缺陷，本表判据与其实质不同,True,0.03,SMC liquidity sweep,破前 16 根低但收于上三分之一，押扫损反弹,NK-T2-02|NK-T2-02|regime_vol_high,2,,929fed912d9156ad|685032f907ee09d9
NK-T2-03,扫低收回（阳线反夺）,T2,流动性猎杀,押收阳,continuation,up,sweep_rec_up,,0,1,C,VERIFIABLE,NK-T1-13 光脚阳线语义邻近，待 hit_sig 去重,True,0.02,sweep-and-reclaim|2B 变体,本文操作化：破 20 根低且收阳并收于上半区,NK-T2-03,1,,6f48bd17c38d8d2a
NK-T2-04,扫高收回（阴线反夺）,T2,流动性猎杀,押收阴,continuation,down,sweep_rec_dn,,0,1,C,VERIFIABLE,,True,0.02,sweep-and-reclaim,本文操作化：破 20 根高且收阴并收于下半区,NK-T2-04,1,,1960cc8e3c96bcc0
NK-T2-05,向上结构突破（BOS）,T2,市场结构,押收阳,continuation,up,bos_up,,0,1,C,VERIFIABLE,R3-001/010 用 breakout_high_50/20，判据不同（本处要求以已确认摆动点为基准）,True,0.02,SMC BOS|币安广场 SMC 结构,本文操作化：收盘首次上穿最近已确认摆动高（分形 k=2，右移 2 根）,NK-T2-05,1,NK-T3-03,36ad3650ed4264cf
NK-T2-06,向下结构突破（BOS）,T2,市场结构,押收阴,continuation,down,bos_dn,,0,1,C,VERIFIABLE,R3-002/011 对应但判据不同,True,0.02,SMC BOS,收盘首次下穿最近已确认摆动低,NK-T2-06,1,NK-T3-04,9004770a0d87a88b
NK-T2-07,向上特性改变（CHoCH）,T2,市场结构,押收阳,continuation,up,choch_up,,0,1,C,VERIFIABLE,,True,0.012,SMC CHoCH/MSS,在下降结构中出现向上破位 = 结构转向首信号,NK-T2-07,1,,f349f91e9560ea2b
NK-T2-08,向下特性改变（CHoCH）,T2,市场结构,押收阴,continuation,down,choch_dn,,0,1,C,VERIFIABLE,,True,0.012,SMC CHoCH,在上升结构中出现向下破位,NK-T2-08,1,,adbc87386589ac8c
NK-T2-09,向上公允价值缺口（FVG）,T2,不平衡,押收阳,continuation,up,fvg_up,,0,1,C,VERIFIABLE,,True,0.05,FVG 三根式|TradeForGood|知乎 FVG,"本文操作化：l > h2 的三根不平衡（仅用 t,t-1,t-2，天然因果）",NK-T2-09,1,,fe1eb67d5b858fc9
NK-T2-10,向下公允价值缺口（FVG）,T2,不平衡,押收阴,continuation,down,fvg_dn,,0,1,C,VERIFIABLE,,True,0.05,FVG 三根式,h < l2,NK-T2-10,1,,e8f9a1276d0b9ee8
NK-T2-11,看涨订单块回补（OB mitigation）,T2,订单块,押收阳,continuation,up,ob_bull_touch,,0,1,C,VERIFIABLE,,True,0.01,Order Block / mitigation|ACY 确认模型,本文操作化：位移前最后一根反向阴线的 l..h 区间，被后续首次回踩的那根作为信号根（避免未来函数）,NK-T2-11,1,,53b0a84724d14946
NK-T2-12,看跌订单块回补,T2,订单块,押收阴,continuation,down,ob_bear_touch,,0,1,C,VERIFIABLE,,True,0.01,Order Block,对称：位移前最后一根阳线区间首次回抽,NK-T2-12,1,,49cfc7480a2813e6
NK-T2-13,弹簧（Spring 机检变体）,T2,威科夫,押收阳,continuation,up,spring,,0,1,C,VERIFIABLE,与 NK-T2-02 扫低失败同源变体,True,0.01,wyckoffanalytics|CMC Markets,本文操作化：破 20 根区间低 + 收回上半区 + 量能萎缩；不代表 Wyckoff 原义（无 TR/阶段判定）,NK-T2-13,1,,38881f259fe6bfcb
NK-T2-14,UTAD（派发后上冲）机检变体,T2,威科夫,押收阴,reversal,down,utad,,0,1,C,VERIFIABLE,与 NK-T2-01 扫高失败同源变体,True,0.01,wyckoffanalytics UTAD,破 20 根区间高 + 收于下半区 + 放量（upthrust 的量能版）,NK-T2-14,1,,cee9c9e7f1c5d431
NK-T2-15,努力无结果（放量窄幅）,T2,VSA,押收阴,reversal,down,effort_noresult,,0,1,C,VERIFIABLE,features.py:356-359 high_vol_stall 近似,True,0.02,VSA effort vs result|pyquantlab VSA,量 ≥2× 均量而振幅 ≤0.5×ATR20，吸收/派发迹象,NK-T2-15,1,,47e4bb768fedf9ad
NK-T2-16,无量反弹（No Demand）,T2,VSA,押收阴,reversal,down,nd_bar,,0,1,C,VERIFIABLE,,True,0.03,VSA no demand bar,小实体阳线 + 缩量，反弹无跟风,NK-T2-16,1,,908700883a4c4608
NK-T2-17,无量下跌（No Supply）,T2,VSA,押收阳,reversal,up,ns_bar,,0,1,C,VERIFIABLE,,True,0.03,VSA no supply bar,小实体阴线 + 缩量，下跌无抛压,NK-T2-17,1,,7982f723581cda32
NK-T2-18,停止量（下影放量）,T2,VSA,押收阳,reversal,up,stop_vol,,0,1,C,VERIFIABLE,,True,0.01,VSA stopping volume,放量 + 长下影，卖压被承接,NK-T2-18,1,,7a09097d51c223b7
NK-T2-19,缩量破高,T2,量价背离,押收阴,reversal,down,shrink_brk_hi,regime_ranging,0,2,C,VERIFIABLE,R3-005（shrink_breakout_high_20 × regime_ranging）已预注册 → 非独立新证据,True,0.01,VSA,创 20 根高但量 <0.8×均量，跟风不足,NK-T2-19|NK-T2-19|regime_ranging,2,,929bd18855b0bed2|0d5fdd30bc2bd5ef
NK-T2-20,缩量破低,T2,量价背离,押收阳,reversal,up,shrink_brk_lo,regime_ranging,0,2,C,VERIFIABLE,R3-006 已预注册 → 非独立新证据,True,0.01,VSA,创 20 根低但量能萎缩,NK-T2-20|NK-T2-20|regime_ranging,2,,1ff8685778a9933f|aa98c323c138b161
NK-T2-21,2B 低点收回,T2,2B 法则,押收阳,continuation,up,b2b_up,,2,1,C,VERIFIABLE,,True,0.015,Connors 2B rule（流传版）,本文操作化取流传版：昨日创 20 根新低、今日收回其低点上方,NK-T2-21,1,,951fc9e98887d0b4
NK-T2-22,2B 高点收回,T2,2B 法则,押收阴,continuation,down,b2b_dn,,2,1,C,VERIFIABLE,,True,0.015,2B rule 对称版,昨日创 20 根新高、今日跌回其高点下方,NK-T2-22,1,,a518408cea451c79
NK-T2-23,Quasimodo 看涨变体,T2,形态法则,押收阳,continuation,up,qms_up,,0,1,C,VERIFIABLE,本质为 sweep+reclaim 的摆动点版，可能与 NK-T2-03 去重,True,0.004,Pipcy/FBS Quasimodo,本文操作化：先有确认摆动高，随后破最近确认摆动低，再收回该摆动低上方,NK-T2-23,1,,9a91a20fc1513aef
NK-T2-24,Quasimodo 看跌变体,T2,形态法则,押收阴,continuation,down,qms_dn,,0,1,C,VERIFIABLE,,True,0.004,Quasimodo,对称版,NK-T2-24,1,,8b029e37edba54cf
NK-T2-25,影线失效模型（看跌）,T2,形态法则,押收阴,reversal,down,wfm_dn,,0,1,C,VERIFIABLE,,True,0.01,wick failure model,破摆动高但收回中点下方（高点未守住）,NK-T2-25,1,,d566910fb8d44a0e
NK-T3-01,等高双顶（EQH）,T3,位势,押收阴,reversal,down,eqh & (close_loc <= 0.5),,0,1,C,VERIFIABLE,,True,0.01,equal highs / liquidity pool,两次触同一高点（容差 0.15×ATR）且收于下半区,NK-T3-01,1,,41af164db1b73137
NK-T3-02,等低双底（EQL）,T3,位势,押收阳,reversal,up,eql & (close_loc >= 0.5),,0,1,C,VERIFIABLE,,True,0.01,equal lows,两次触同一低点且收于上半区,NK-T3-02,1,,9c7f0cd127811a6d
NK-T3-03,突破回踩不破（支撑互换）,T3,位势,押收阳,continuation,up,sr_brk_retest_up & (dir_ > 0),,0,0,C,VERIFIABLE,,True,0.008,S/R role reversal|知乎 聪明钱趋势策略,收盘破摆动高后回踩至该位（0.25×ATR 内）且当日收阳,,0,,
NK-T3-04,跌破反抽不过（阻力互换）,T3,位势,押收阴,continuation,down,sr_brk_retest_dn & (dir_ < 0),,0,0,C,VERIFIABLE,,True,0.008,S/R role reversal,对称版,,0,,
NK-T3-05,区间下沿承接,T3,位势,押收阳,continuation,up,(rpos20 <= 0.15) & (close_loc >= 0.65) & (dir_ > 0),regime_trend_dn,20,2,B,VERIFIABLE,KREV-B 用 range_pos_prior_5（kline_shadow_detector.py:63）→ 同族不同窗,True,0.04,项目内生 features.py:259-268,20 根区间贴底但收在上方，需求确认,NK-T3-05|NK-T3-05|regime_trend_dn,2,,e4785f0e7613049e|660e9315d48937e0
NK-T3-06,区间上沿滞涨,T3,位势,押收阴,continuation,down,(rpos20 >= 0.85) & (close_loc <= 0.35) & (dir_ < 0),regime_trend_up,20,2,B,VERIFIABLE,,True,0.04,项目内生 features.py:259-268,贴 20 根区间顶但收在下方,NK-T3-06|NK-T3-06|regime_trend_up,2,,d96f9a7e5ef13b2d|efeb3548719b6c0d
NK-T3-07,38.2% 回撤承接,T3,深度回撤,押收阳,continuation,up,pull382_up & (dir_ > 0),,382,1,C,VERIFIABLE,,True,0.02,fibonacci retracement（社区惯例）,近 20 根上行的 38.2% 位附近止跌收阳（纯 OHLC 可机检的斐波那契子集）,NK-T3-07,1,,87dd1ebbb135c21f
NK-T3-08,38.2% 反抽受阻,T3,深度回撤,押收阴,continuation,down,pull382_dn & (dir_ < 0),,382,1,C,VERIFIABLE,,True,0.02,fibonacci retracement,近 20 根下行后的 38.2% 反抽位受阻,NK-T3-08,1,,761fad6112d6bd8f
NK-T3-09,NR7 后突破（看涨）,T3,压缩扩张,押收阳,continuation,up,nr7 & (c > hh1),,7,1,B,VERIFIABLE,features.py:309-317 compression_* 同族,True,0.06,LuxAlgo NR4/NR7|Forex Factory,近 7 根最窄幅 + 收盘越前高，押扩张,NK-T3-09,1,,6d542b0398b81deb
NK-T3-10,NR7 后突破（看跌）,T3,压缩扩张,押收阴,continuation,down,nr7 & (c < ll1),,7,1,B,VERIFIABLE,,True,0.06,NR7,对称版,NK-T3-10,1,,c1262a0b0b6aea9f
NK-T3-11,低波压缩态（NR4）,T3,压缩扩张,押反转,reversal,none,nr4,regime_vol_low,4,2,B,VERIFIABLE,,True,0.15,NR4,高频语境形态：测压缩态本身的方向可预测性（预期 lift 近 0）,NK-T3-11|NK-T3-11|regime_vol_low,2,,7b24c428dd49c2d9|bc8a44f7d692ee92
NK-T3-12,收口后首次扩张（看涨）,T3,压缩扩张,押收阳,continuation,up,(sqz <= 0.2) & volexp & (dir_ > 0),,0,1,C,VERIFIABLE,R3-010/011 用 regime_expansion × 突破（非分位收口）,True,0.01,inside bar squeeze|BB width percentile,波动分位收至 20% 以下后的首次放量扩张,NK-T3-12,1,,c4e7e36ea653b0f8
NK-T3-13,高效率上行破位,T3,趋势效率,押收阳,continuation,up,(er20 >= 0.55) & (c > hh10),,20,1,B,VERIFIABLE,KREV-A/B 用 efficiency_5 >= 0.861 但押反转（方向相反）→ 重要对照,True,0.02,Kaufman Efficiency Ratio,20 根路径高效且创新高清仓，押趋势延续,NK-T3-13,1,,a41b9ee58585d0eb
NK-T3-14,高效率下行破位,T3,趋势效率,押收阴,continuation,down,(er20 >= 0.55) & (c < ll10),,20,1,B,VERIFIABLE,同上（KREV 押反向）,True,0.02,Kaufman ER,对称版,NK-T3-14,1,,378f385329f7849e
NK-T3-15,父周期同向（1H 定向）,T3,多周期共振,押收阳,continuation,up,align_h & (dir_ > 0),,0,1,C,VERIFIABLE,R3-007/008 已用 align_1h × regime_trend → 非独立新证据,True,0.2,multi-timeframe alignment,父根已收盘方向（右移对齐，无未来信息）与本根同向；1h 上父周期取 4h,NK-T3-15,1,,30d0957bc6b71c66
